phase,plutchik_joy,plutchik_sadness,plutchik_fear,plutchik_anger,plutchik_surprise,plutchik_trust,plutchik_disgust,plutchik_anticipation
1,0.13819228371912898,0.19075334287988766,0.050313901277743094,0.12932066857118937,0.12718024532932887,0.23301715973140627,0.02446699606447137,0.10675540242684409
2,0.13370868123647314,0.18650464428210745,0.04474015548774521,0.13301711490785106,0.11882332425174942,0.2540042766652521,0.02395335111247634,0.10524845205634495
3,0.13620212692032851,0.18866306574242261,0.051760933743511976,0.13404700821135485,0.11639527908934344,0.24529279089384307,0.024481975315841367,0.10315682008335386
4,0.14187514360792872,0.19093546355412777,0.047247476368362955,0.13078855834170042,0.11667514637213923,0.24840746765020644,0.023279275409142312,0.10079146869639179
5,0.1280750238000634,0.19267478717516764,0.043340895699710016,0.13058824648320289,0.12244441929720476,0.25591463803798165,0.02333693909668038,0.10362505040998896
6,0.12685546875783518,0.19890798365615892,0.041048363571508734,0.1244183230598615,0.11574710041161336,0.26538723622743043,0.022263999369236672,0.10537152494635484
7,0.13397975471758344,0.19828721580712957,0.041645233639607884,0.12541821022258415,0.1176225883913844,0.2507494860322001,0.022083933627141585,0.11021357756236856
8,0.1342046925301197,0.17893155122269372,0.04209983039936301,0.13123466960075605,0.12809349267728154,0.2494546582336511,0.023287490708418918,0.11269361462771561
9,0.14009600755305623,0.1624974587220666,0.033200006468372116,0.1341922414162724,0.1327279121761826,0.26444094120086253,0.022762703765214085,0.11008272869797311
10,0.1516671608286687,0.14422803525666386,0.028377343117765005,0.13671419303133645,0.13425226687160835,0.26480150453034584,0.023072621876827435,0.116886874486784
