phase,lexical_diversity,avg_sent_len,pronoun_ratio,modal_ratio,sentiment_adj_ratio
1,0.957164611364223,12.539134633835735,0.02683177216728452,0.00475924436895636,0.016467004528796663
2,0.9552435255720279,12.433932244568647,0.034464764556341815,0.0048739791534449985,0.020031355447512847
3,0.9564303361821137,12.54235702965201,0.03678771833678651,0.004956111436673642,0.01909679617970417
4,0.9557639048685707,12.40374528663106,0.0390024444042102,0.0046932717277511395,0.019065179576592636
5,0.9562799580692306,13.043488570527302,0.035367080536449665,0.004971915918544017,0.01880610288269553
6,0.9546379128768182,12.786876491284406,0.037051556739464475,0.005454987429675975,0.018278772013633725
7,0.9578365516500109,13.001170447265443,0.03728404459539596,0.005260643119922821,0.01675813041326351
8,0.9531412500000437,13.12944305488994,0.03233892481120305,0.005076023280256414,0.01587403003355318
9,0.9570228015985307,13.363320149334895,0.028096831663045312,0.00526872703777428,0.013432668203922637
10,0.95346573537247,13.091649552004224,0.032552767999996894,0.005355441672630709,0.01270427117226867
